Title,Genres,Status,User Score
Kami nomi zo Shiru Sekai II,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed,6.33
Kami nomi zo Shiru Sekai: Megami-hen,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed,6.33
"Kanojo, Okarishimasu","['Adult Cast', 'Comedy', 'Harem', 'Romance', 'Shounen']",Completed,8.0
Kanokon: Manatsu no Dai Shanikusai,"['Ecchi', 'Romance']",Completed,5.5
Karakai Jouzu no Takagi-san,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed,6.25
Karakai Jouzu no Takagi-san 2,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed,6.25
Kawaii dake ja Nai Shikimori-san,"['Comedy', 'Romance', 'School']",Completed,7.0
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",Completed,8.0
Kimetsu no Yaiba,"['Action', 'Award Winning', 'Historical', 'Shounen', 'Supernatural']",Completed,9.0
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",Completed,7.0
Kimetsu no Yaiba: Yuukaku-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",Completed,6.0
Kimi ni Todoke,"['Drama', 'Romance', 'School', 'Shoujo']",Completed,2.0
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"['Comedy', 'Harem', 'Parody', 'Romance', 'School', 'Seinen']",Completed,8.0
Kimi no Na wa.,"['Award Winning', 'Drama']",Completed,9.0
Kimi no Suizou wo Tabetai,"['Drama', 'Romance', 'School']",Completed,9.0
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,"['Ecchi', 'Fantasy', 'School', 'Shounen']",Completed,6.0
Kiseijuu: Sei no Kakuritsu,"['Action', 'Gore', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",Completed,9.0
Kishuku Gakkou no Juliet,"['Action', 'Comedy', 'Romance', 'School', 'Shounen']",Completed,8.0
Kobayashi-san Chi no Maid Dragon,"['Slice of Life', 'Supernatural']",Completed,3.5
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Supernatural']",Completed,3.5
Koe no Katachi,"['Award Winning', 'Drama', 'Shounen']",Completed,6.0
Koi to Senkyo to Chocolate,"['Drama', 'Harem', 'Romance', 'School']",Completed,1.0
Koi to Uso,"['Drama', 'Love Polygon', 'Romance', 'School']",Completed,7.0
Koi to Yobu ni wa Kimochi Warui,"['Comedy', 'Romance', 'School']",Completed,8.0
Kokuhaku,['Horror'],Completed,1.0
Kono Bijutsu-bu ni wa Mondai ga Aru!,"['Comedy', 'Romance', 'School', 'Seinen', 'Visual Arts']",Completed,7.0
Kono Subarashii Sekai ni Bakuen wo!,"['Comedy', 'Fantasy']",Completed,8.0
