Title,Genres,Median Score
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"['Action', 'Adventure', 'Shounen', 'Super Power']",
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"['Award Winning', 'Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",
Ansatsu Kyoushitsu 2nd Season,"['Action', 'Comedy', 'School', 'Shounen']",
Aria the Origination,"['Fantasy', 'Iyashikei', 'Sci-Fi', 'Shounen', 'Slice of Life']",
Uchuu Kyoudai,"['Adult Cast', 'Comedy', 'Seinen', 'Space', 'Workplace']",
Nichijou,"['Comedy', 'Gag Humor', 'School', 'Shounen']",
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"['Action', 'Fantasy', 'Urban Fantasy']",
Banana Fish,"['Action', 'Adventure', 'Delinquents', 'Drama', 'Organized Crime', 'Psychological', 'Shoujo', 'Suspense']",
Chihayafuru 3,"['Drama', 'Josei', 'Love Polygon', 'School', 'Sports', 'Strategy Game']",
Gintama: The Semi-Final,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",
Yuu☆Yuu☆Hakusho,"['Action', 'Martial Arts', 'Mythology', 'Shounen', 'Supernatural']",
Mo Dao Zu Shi,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Reincarnation']",
Mo Dao Zu Shi: Xian Yun Pian,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Reincarnation']",
Pluto,"['Action', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",
Rainbow: Nisha Rokubou no Shichinin,"['Delinquents', 'Drama', 'Historical', 'Seinen', 'Suspense']",
Owarimonogatari,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",
Doupo Cangqiong: Nian Fan,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']",
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"['Drama', 'Sci-Fi']",
Uma Musume: Pretty Derby - Shin Jidai no Tobira,"['Anthropomorphic', 'Racing', 'Sports']",
Zoku Owarimonogatari,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"['Action', 'Adventure', 'Shounen', 'Super Power']",
Karakai Jouzu no Takagi-san Movie,"['Love Status Quo', 'School', 'Shounen']",
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",
Haikyuu!!,"['School', 'Shounen', 'Sports', 'Team Sports']",
Bungou Stray Dogs 4th Season,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power']",
Golden Kamuy 3rd Season,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']",
Mushishi Zoku Shou: Odoro no Michi,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']",
Jujutsu Kaisen 0 Movie,"['Action', 'School', 'Shounen', 'Supernatural']",
Kono Oto Tomare! Part 2,"['Drama', 'Music', 'School', 'Shounen']",
Koukaku Kidoutai: Stand Alone Complex,"['Action', 'Adult Cast', 'Award Winning', 'Detective', 'Mecha', 'Military', 'Mystery', 'Sci-Fi', 'Seinen']",
Mononoke,"['Adult Cast', 'Historical', 'Horror', 'Mystery', 'Mythology', 'Psychological', 'Supernatural', 'Suspense']",
Natsume Yuujinchou Movie: Utsusemi ni Musubu,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Tian Guan Cifu,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']",
Wu Liuqi: Xuanwu Guo Pian,"['Action', 'Adventure', 'Comedy', 'Drama', 'Martial Arts', 'Mystery', 'Super Power']",
Gintama: Yorinuki Gintama-san on Theater 2D,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",
Hunter x Hunter,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Shingeki no Kyojin: Kuinaki Sentaku,['Action'],
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,['Drama'],
Kamisama Hajimemashita: Kako-hen,"['Comedy', 'Mythology', 'Romance', 'Shoujo', 'Supernatural', 'Time Travel']",
Natsume Yuujinchou Roku Specials,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Karakai Jouzu no Takagi-san 3,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",
Major S5,"['Shounen', 'Sports', 'Team Sports']",
Blue Giant,"['Music', 'Seinen']",
Girls Band Cry,"['Drama', 'Music']",
Houseki no Kuni,"['Action', 'Anthropomorphic', 'Drama', 'Fantasy', 'Mystery', 'Seinen']",
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"['Drama', 'Fantasy']",
Vivy: Fluorite Eye's Song,"['Action', 'Music', 'Sci-Fi', 'Suspense', 'Time Travel']",
Yuru Camp△ Movie,"['Adult Cast', 'CGDCT', 'Iyashikei', 'Slice of Life']",
Josee to Tora to Sakana-tachi,"['Adult Cast', 'Drama', 'Romance', 'Visual Arts']",
Kaze ga Tsuyoku Fuiteiru,"['Adult Cast', 'Drama', 'Racing', 'Sports']",
Made in Abyss Movie 2: Hourou Suru Tasogare,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",
Ramayana: The Legend of Prince Rama,['Adventure'],
Chihayafuru 2,"['Drama', 'Josei', 'Love Polygon', 'School', 'Sports', 'Strategy Game']",
Cowboy Bebop: Tengoku no Tobira,"['Action', 'Adult Cast', 'Sci-Fi', 'Space']",
Fruits Basket: Prelude,"['Drama', 'Romance', 'Shoujo']",
3-gatsu no Lion,"['Childcare', 'Drama', 'Seinen', 'Strategy Game']",
Cross Game,"['Drama', 'Romance', 'School', 'Shounen', 'Sports', 'Team Sports']",
Haikyuu!! To the Top,"['School', 'Shounen', 'Sports', 'Team Sports']",
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),"['Action', 'Fantasy', 'Mystery', 'Romance', 'Suspense', 'Urban Fantasy']",
Mahou Shoujo Madoka★Magica,"['Award Winning', 'Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"['Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",
Kizumonogatari I: Tekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",
Meitantei Conan Movie 26: Kurogane no Submarine,"['Action', 'Detective', 'Mystery', 'Shounen']",
Non Non Biyori Nonstop,"['CGDCT', 'Iyashikei', 'Seinen', 'Slice of Life']",
Tensei shitara Slime Datta Ken 2nd Season,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']",
Baccano!,"['Action', 'Adult Cast', 'Historical', 'Mystery', 'Organized Crime', 'Supernatural']",
Girls & Panzer: Saishuushou Part 4,"['CGDCT', 'Military', 'School']",
Hellsing Ultimate,"['Action', 'Adult Cast', 'Gore', 'Horror', 'Military', 'Seinen', 'Supernatural', 'Vampire']",
Initial D First Stage,"['Action', 'Drama', 'Racing', 'Seinen']",
K-On! Movie,"['Award Winning', 'CGDCT', 'Comedy', 'Music']",
Kaze no Tani no Nausicaä,"['Adventure', 'Award Winning', 'Fantasy']",
Kimetsu no Yaiba: Mugen Ressha-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",
Tunshi Xingkong 3rd Season,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Sci-Fi']",
