Title,Genres,Status,User Score
"Ijiranaide, Nagatoro-san","['Comedy', 'Love Status Quo', 'School']",Completed,7
"Ijiranaide, Nagatoro-san 2nd Attack","['Comedy', 'Love Status Quo', 'School']",Completed,6
Imouto sae Ireba Ii.,"['Adult Cast', 'Comedy', 'Ecchi', 'Otaku Culture', 'Romance', 'Workplace']",Completed,6
Inou-Battle wa Nichijou-kei no Naka de,"['Comedy', 'Harem', 'School', 'Super Power']",Completed,8
Inu to Hasami wa Tsukaiyou,"['Comedy', 'Reincarnation', 'Supernatural']",Completed,0
Inuyashiki,"['Action', 'Drama', 'Gore', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",Completed,8
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Isekai', 'Romance']",Completed,0
Isekai Ojisan,"['Adult Cast', 'Comedy', 'Fantasy', 'Isekai', 'Otaku Culture', 'Parody']",Completed,8
Isekai Quartet,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,0
Isekai Quartet 2,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,0
Isekai Shikkaku,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,7
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Video Game']",Completed,8
Itsudatte Bokura no Koi wa 10 cm Datta.,"['Drama', 'Romance', 'School', 'Visual Arts']",Completed,0
Jahy-sama wa Kujikenai!,"['Comedy', 'Shounen', 'Supernatural']",Completed,6
Jaku-Chara Tomozaki-kun,"['Drama', 'Romance', 'School']",Completed,8
Jaku-Chara Tomozaki-kun 2nd Stage,"['Drama', 'Romance', 'School']",Completed,6
Jibaku Shounen Hanako-kun,"['School', 'Shounen', 'Supernatural']",Completed,0
Jiisan Baasan Wakagaeru,"['Comedy', 'Romance', 'Supernatural']",Completed,7
Jitsu wa Watashi wa,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen', 'Supernatural', 'Vampire']",Completed,6
Joshikausei,"['CGDCT', 'Comedy', 'School', 'Slice of Life']",Completed,0
Joshikousei no Mudazukai,"['CGDCT', 'Comedy', 'Gag Humor', 'School']",Completed,9
Joshiraku,"['Adult Cast', 'Comedy', 'Gag Humor', 'Parody', 'Performing Arts', 'Shounen']",Completed,0
Jujutsu Kaisen,"['Action', 'Award Winning', 'School', 'Shounen', 'Supernatural']",Completed,7
Jujutsu Kaisen 2nd Season,"['Action', 'Gore', 'School', 'Shounen', 'Supernatural']",Completed,8
