Title,Genres,Status
Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",Completed
Gabriel DropOut,"['CGDCT', 'Comedy', 'Mythology', 'School', 'Shounen', 'Supernatural']",Completed
Gamers!,"['Comedy', 'Love Polygon', 'Otaku Culture', 'Romance', 'School', 'Video Game']",Completed
Gekkan Shoujo Nozaki-kun,"['Comedy', 'Otaku Culture', 'Romance', 'School']",Completed
Giji Harem,"['Comedy', 'Love Status Quo', 'Romance', 'School', 'Shounen']",Completed
Gimai Seikatsu,['Romance'],Completed
Gintama,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama Movie 1: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'Time Travel']",Completed
Gintama',"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama': Enchousen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama.,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama. Porori-hen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama. Shirogane no Tamashii-hen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama: Dai Hanseikai,"['Action', 'Comedy', 'Parody', 'Samurai', 'Shounen']",Completed
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,"['Action', 'Comedy', 'Historical', 'Mecha', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama: Shiroyasha Koutan,"['Action', 'Comedy', 'Historical', 'Parody', 'Sci-Fi']",Completed
Gintama: The Final,"['Action', 'Comedy', 'Drama', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama°,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed
Gintama°: Aizome Kaori-hen,"['Comedy', 'Gag Humor', 'Parody', 'Shounen']",Completed
Goblin Slayer,"['Action', 'Adventure', 'Fantasy', 'Gore']",Completed
Goblin Slayer II,"['Action', 'Adventure', 'Fantasy', 'Gore']",Completed
Gokushufudou,"['Adult Cast', 'Comedy', 'Gag Humor', 'Organized Crime']",Completed
Golden Time,"['Adult Cast', 'Drama', 'Love Polygon', 'Romance']",Completed
Grand Blue,"['Adult Cast', 'Comedy', 'Gag Humor', 'Seinen']",Completed
Great Pretender,"['Action', 'Adult Cast', 'Adventure', 'Mystery', 'Organized Crime']",Completed
Great Teacher Onizuka,"['Comedy', 'Delinquents', 'School', 'Shounen', 'Workplace']",Completed
Haiyore! Nyaruko-san,"['Comedy', 'Parody', 'Sci-Fi']",Completed
Haiyore! Nyaruko-san F,"['Comedy', 'Parody', 'Romance', 'Sci-Fi']",Completed
Haiyore! Nyaruko-san W,"['Comedy', 'Parody', 'Sci-Fi']",Completed
Hametsu no Mars,"['Action', 'Gore', 'Horror', 'Military', 'Sci-Fi']",Completed
Handa-kun,"['Comedy', 'School', 'Shounen', 'Visual Arts']",Completed
Happy Sugar Life,"['Drama', 'Girls Love', 'Gore', 'Horror', 'Psychological', 'Shounen', 'Suspense']",Completed
Hataage! Kemono Michi,"['Anthropomorphic', 'Comedy', 'Fantasy', 'Isekai', 'Shounen']",Completed
Hataraku Maou-sama!,"['Comedy', 'Supernatural']",Completed
Hataraku Maou-sama!!,"['Comedy', 'Supernatural']",Completed
Hataraku Maou-sama!! 2nd Season,"['Comedy', 'Supernatural']",Completed
Hatsukoi Limited.,"['Comedy', 'Romance', 'School', 'Shounen']",Completed
"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made","['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed
