Title,Genres,Rank,Average Score
Slam Dunk,"['School', 'Shounen', 'Sports', 'Team Sports']",120,
Yojouhan Shinwa Taikei,"['Adult Cast', 'Award Winning', 'Comedy', 'Mystery', 'Psychological', 'Romance', 'Suspense', 'Time Travel']",121,
Haikyuu!! To the Top Part 2,"['School', 'Shounen', 'Sports', 'Team Sports']",122,
Fate/Zero 2nd Season,"['Action', 'Fantasy', 'Urban Fantasy']",123,
Fruits Basket 2nd Season,"['Drama', 'Romance', 'School', 'Shoujo', 'Supernatural']",124,
Steins;Gate 0,"['Drama', 'Sci-Fi', 'Suspense', 'Time Travel']",125,
Zoku Natsume Yuujinchou,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",126,
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,"['Action', 'Adventure', 'Shounen', 'Super Power']",127,
Kimi ni Todoke 3rd Season,"['Drama', 'Romance', 'School', 'Shoujo']",128,
Mushishi: Hihamukage,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",129,
Shingeki no Kyojin Season 2,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",130,
Shoujo☆Kageki Revue Starlight Movie,"['Drama', 'Music', 'Performing Arts', 'School']",131,
Bakuman. 3rd Season,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']",132,
Gintama Movie 1: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",133,
Gintama. Porori-hen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",134,
Hotaru no Haka,"['Drama', 'Historical']",135,
Kara no Kyoukai Movie 5: Mujun Rasen,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Suspense', 'Urban Fantasy']",136,
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"['Action', 'Adult Cast', 'Detective', 'Mecha', 'Military', 'Mystery', 'Sci-Fi', 'Seinen']",137,
Samurai Champloo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai']",138,
Sora yori mo Tooi Basho,"['Adventure', 'CGDCT', 'Comedy', 'Drama']",139,
Yuru Camp△ Season 2,"['CGDCT', 'Iyashikei', 'Slice of Life']",140,
Tian Guan Cifu Special,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']",141,
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"['Action', 'Adventure', 'Shounen', 'Super Power']",142,
Ousama Ranking,"['Adventure', 'Fantasy']",143,
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"['Award Winning', 'Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",144,
Mob Psycho 100,"['Action', 'Comedy', 'Supernatural']",145,
One Punch Man,"['Action', 'Adult Cast', 'Comedy', 'Parody', 'Seinen', 'Super Power']",146,
Ansatsu Kyoushitsu 2nd Season,"['Action', 'Comedy', 'School', 'Shounen']",147,
Aria the Origination,"['Fantasy', 'Iyashikei', 'Sci-Fi', 'Shounen', 'Slice of Life']",148,
Spy x Family,"['Action', 'Award Winning', 'Childcare', 'Comedy', 'Shounen', 'Super Power']",149,
Uchuu Kyoudai,"['Adult Cast', 'Comedy', 'Seinen', 'Space', 'Workplace']",150,
Yakusoku no Neverland,"['Mystery', 'Psychological', 'Shounen', 'Survival', 'Suspense']",151,
Summertime Render,"['Mystery', 'Shounen', 'Supernatural', 'Suspense', 'Time Travel']",152,
Nichijou,"['Comedy', 'Gag Humor', 'School', 'Shounen']",153,
Chainsaw Man,"['Action', 'Fantasy', 'Gore', 'Shounen', 'Urban Fantasy']",154,
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"['Action', 'Fantasy', 'Urban Fantasy']",155,
Banana Fish,"['Action', 'Adventure', 'Delinquents', 'Drama', 'Organized Crime', 'Psychological', 'Shoujo', 'Suspense']",156,
Chihayafuru 3,"['Drama', 'Josei', 'Love Polygon', 'School', 'Sports', 'Strategy Game']",157,
Gintama: The Semi-Final,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",158,
Yuu☆Yuu☆Hakusho,"['Action', 'Martial Arts', 'Mythology', 'Shounen', 'Supernatural']",159,
Mo Dao Zu Shi,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Reincarnation']",160,
Mo Dao Zu Shi: Xian Yun Pian,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Reincarnation']",161,
Pluto,"['Action', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",162,
Rainbow: Nisha Rokubou no Shichinin,"['Delinquents', 'Drama', 'Historical', 'Seinen', 'Suspense']",163,
Owarimonogatari,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",164,
Doupo Cangqiong: Nian Fan,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']",165,
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"['Drama', 'Sci-Fi']",166,
Uma Musume: Pretty Derby - Shin Jidai no Tobira,"['Anthropomorphic', 'Racing', 'Sports']",167,
Zoku Owarimonogatari,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",168,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"['Action', 'Adventure', 'Shounen', 'Super Power']",169,
Karakai Jouzu no Takagi-san Movie,"['Love Status Quo', 'School', 'Shounen']",170,
Kimetsu no Yaiba,"['Action', 'Award Winning', 'Historical', 'Shounen', 'Supernatural']",171,
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",172,
Grand Blue,"['Adult Cast', 'Comedy', 'Gag Humor', 'Seinen']",173,
Haikyuu!!,"['School', 'Shounen', 'Sports', 'Team Sports']",174,
Bungou Stray Dogs 4th Season,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power']",175,
Golden Kamuy 3rd Season,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']",176,
Mushishi Zoku Shou: Odoro no Michi,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",177,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']",178,
Jujutsu Kaisen 0 Movie,"['Action', 'School', 'Shounen', 'Supernatural']",179,
Kono Oto Tomare! Part 2,"['Drama', 'Music', 'School', 'Shounen']",180,
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",181,
Koukaku Kidoutai: Stand Alone Complex,"['Action', 'Adult Cast', 'Award Winning', 'Detective', 'Mecha', 'Military', 'Mystery', 'Sci-Fi', 'Seinen']",182,
